order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,status,payment_method
ORD0002626,CUS000144,PROD0096,4,19864.09,79456.36,2026-05-20,Returned,COD
ORD0002627,CUS000578,PROD0166,3,24202.61,72607.83,2025-03-19,Returned,COD
ORD0002628,CUS000719,PROD0018,3,2139.17,6417.51,2025-06-30,Delivered,UPI
ORD0002629,CUS000432,PROD0005,2,2268.03,4536.06,2025-01-08,Returned,UPI
ORD0002630,CUS000192,PROD0173,1,20973.73,20973.73,2025-08-30,Cancelled,UPI
ORD0002631,CUS000560,PROD0084,4,19350.77,77403.08,2025-07-01,Shipped,Credit Card
ORD0002632,CUS000468,PROD0225,5,6501.49,32507.45,2025-09-19,Pending,COD
ORD0002633,CUS000485,PROD0223,4,10238.57,40954.28,2024-07-19,Shipped,UPI
ORD0002634,CUS000346,PROD0192,5,21885.35,109426.75,2025-01-28,Returned,Net Banking
ORD0002635,CUS000995,PROD0154,1,4668.27,4668.27,2024-11-12,Shipped,COD
ORD0002636,CUS000437,PROD0056,4,18196.44,72785.76,2025-09-20,Cancelled,COD
ORD0002637,CUS000030,PROD0206,5,5519.24,27596.2,2024-11-29,Shipped,COD
ORD0002638,CUS000908,PROD0086,3,20746.71,62240.13,2025-12-01,Pending,COD
ORD0002639,CUS000770,PROD0102,5,17085.4,85427.0,2024-08-26,Shipped,Debit Card
ORD0002640,CUS000994,PROD0171,1,22219.95,22219.95,2026-05-25,Delivered,UPI
ORD0002641,CUS000470,PROD0073,3,29196.83,87590.49,2025-02-22,Returned,Debit Card
ORD0002642,CUS000675,PROD0236,1,22192.54,22192.54,2025-07-14,Shipped,Debit Card
ORD0002643,CUS000315,PROD0089,3,10080.21,30240.63,2025-04-20,Delivered,Debit Card
ORD0002644,CUS000448,PROD0121,2,1548.11,3096.22,2025-09-04,Delivered,Debit Card
ORD0002645,CUS000866,PROD0079,5,18717.68,93588.4,2025-07-28,Cancelled,Credit Card
ORD0002646,CUS000353,PROD0245,2,14291.9,28583.8,2025-06-03,Delivered,Net Banking
ORD0002647,CUS000716,PROD0282,4,19010.43,76041.72,2024-09-15,Shipped,Net Banking
ORD0002648,CUS000724,PROD0193,4,14802.7,59210.8,2025-05-19,Shipped,Credit Card
ORD0002649,CUS000326,PROD0199,2,3030.83,6061.66,2026-01-28,Shipped,Net Banking
ORD0002650,CUS000840,PROD0168,3,22516.49,67549.47,2024-12-20,Returned,COD
ORD0002651,CUS000074,PROD0202,5,15240.25,76201.25,2024-09-08,Cancelled,Net Banking
ORD0002652,CUS000907,PROD0014,2,5120.49,10240.98,2025-06-10,Pending,Debit Card
ORD0002653,CUS000371,PROD0121,3,1548.11,4644.33,2025-08-11,Cancelled,COD
