product_id,product_name,category,cost_price,selling_price
PROD0188,Keyboard,Beauty,19487.18,27262.79
PROD0189,Laptop,Sports,17375.8,23820.4
PROD0190,Rice,Fashion,5722.57,7813.72
PROD0191,Football,Electronics,19311.68,24402.53
PROD0192,Headphones,Sports,16451.21,21885.35
PROD0193,Keyboard,Home,12607.44,14802.7
PROD0194,Shoes,Electronics,11278.65,14512.53
PROD0195,Mixer Grinder,Home,11183.56,14955.53
PROD0196,Coffee,Books,12387.45,18569.56
PROD0197,Perfume,Books,18174.66,23332.79
PROD0198,Mixer Grinder,Beauty,6142.34,8780.24
PROD0199,T-Shirt,Grocery,2029.71,3030.83
PROD0200,Mouse,Sports,13225.54,16144.1
PROD0201,Notebook,Beauty,1547.54,1781.53
PROD0202,Shoes,Grocery,11896.53,15240.25
PROD0203,Notebook,Electronics,14153.77,20754.3
PROD0204,Perfume,Beauty,13763.33,21550.07
PROD0205,Monitor,Sports,16087.92,19933.23
PROD0206,Watch,Home,4534.95,5519.24
PROD0207,Backpack,Sports,2887.61,3398.25
PROD0208,Backpack,Books,14991.71,21080.49
PROD0209,Coffee,Grocery,2530.86,3694.82
PROD0210,Headphones,Sports,10034.42,13769.31
PROD0211,Rice,Sports,845.22,1136.32
PROD0212,Perfume,Sports,5044.84,6008.89
PROD0213,Watch,Sports,19018.19,30425.44
PROD0214,Football,Sports,852.62,1270.68
PROD0215,Mouse,Sports,13047.61,20383.4
PROD0216,Headphones,Books,8745.91,13262.39
PROD0217,Monitor,Home,6991.82,9089.29
PROD0218,Football,Grocery,3258.46,4350.83
PROD0219,Face Wash,Electronics,13268.54,17649.86
PROD0220,Rice,Electronics,9123.78,11783.66
PROD0221,Cricket Bat,Home,19405.19,25845.36
PROD0222,Face Wash,Books,19762.98,28576.23
PROD0223,Cooking Oil,Sports,8294.29,10238.57
PROD0224,Smartphone,Fashion,15141.04,21673.4
PROD0225,Backpack,Books,5377.77,6501.49
