order_id,customer_id,product_id,quantity,unit_price,total_amount,order_date,status,payment_method
ORD0005251,CUS000466,PROD0266,1,18390.12,18390.12,2025-02-10,Shipped,Net Banking
ORD0005252,CUS000170,PROD0077,5,4876.09,24380.45,2025-08-13,Pending,Net Banking
ORD0005253,CUS000667,PROD0282,2,19010.43,38020.86,2026-05-27,Cancelled,UPI
ORD0005254,CUS000771,PROD0270,3,22752.74,68258.22,2025-06-21,Delivered,Credit Card
ORD0005255,CUS000529,PROD0235,2,25761.43,51522.86,2026-06-10,Pending,COD
ORD0005256,CUS000189,PROD0174,5,20807.12,104035.6,2024-11-04,Returned,UPI
ORD0005257,CUS000430,PROD0046,1,13145.19,13145.19,2026-01-20,Pending,Credit Card
ORD0005258,CUS000702,PROD0217,5,9089.29,45446.45,2026-06-18,Delivered,COD
ORD0005259,CUS000176,PROD0198,1,8780.24,8780.24,2026-02-16,Returned,Net Banking
ORD0005260,CUS000016,PROD0201,2,1781.53,3563.06,2026-07-16,Pending,Credit Card
ORD0005261,CUS000861,PROD0272,2,2848.13,5696.26,2026-07-16,Delivered,Debit Card
ORD0005262,CUS000059,PROD0062,4,17541.43,70165.72,2024-07-18,Shipped,Net Banking
ORD0005263,CUS000288,PROD0100,3,645.8,1937.4,2026-05-16,Cancelled,Debit Card
ORD0005264,CUS000391,PROD0167,5,4935.28,24676.4,2025-01-15,Shipped,UPI
ORD0005265,CUS000697,PROD0172,5,16145.14,80725.7,2025-02-23,Returned,Credit Card
ORD0005266,CUS000012,PROD0042,2,11426.12,22852.24,2025-12-27,Cancelled,Debit Card
ORD0005267,CUS000674,PROD0153,2,22366.91,44733.82,2025-01-05,Cancelled,Debit Card
ORD0005268,CUS000020,PROD0209,5,3694.82,18474.1,2026-03-02,Pending,Credit Card
ORD0005269,CUS000470,PROD0080,2,8257.43,16514.86,2024-12-23,Cancelled,Debit Card
ORD0005270,CUS000565,PROD0005,2,2268.03,4536.06,2025-09-21,Cancelled,COD
ORD0005271,CUS000843,PROD0232,4,6867.92,27471.68,2024-08-19,Delivered,Debit Card
ORD0005272,CUS000001,PROD0193,4,14802.7,59210.8,2025-02-25,Shipped,UPI
ORD0005273,CUS000326,PROD0125,4,10486.69,41946.76,2025-02-22,Shipped,UPI
ORD0005274,CUS000364,PROD0022,3,23884.04,71652.12,2026-01-07,Shipped,Net Banking
ORD0005275,CUS000772,PROD0131,5,23313.34,116566.7,2025-10-01,Delivered,COD
ORD0005276,CUS000798,PROD0226,3,24110.23,72330.69,2024-12-28,Cancelled,Credit Card
ORD0005277,CUS000847,PROD0125,4,10486.69,41946.76,2026-01-05,Cancelled,COD
ORD0005278,CUS000122,PROD0280,2,21167.04,42334.08,2025-11-01,Cancelled,COD
ORD0005279,CUS000255,PROD0232,4,6867.92,27471.68,2025-08-27,Pending,UPI
ORD0005280,CUS000421,PROD0142,4,20884.67,83538.68,2025-12-13,Shipped,Debit Card
ORD0005281,CUS000439,PROD0066,2,22792.97,45585.94,2025-08-07,Delivered,Net Banking
ORD0005282,CUS000619,PROD0207,4,3398.25,13593.0,2025-09-30,Pending,COD
ORD0005283,CUS000600,PROD0209,3,3694.82,11084.46,2025-06-23,Delivered,Debit Card
ORD0005284,CUS000318,PROD0191,5,24402.53,122012.65,2024-09-22,Pending,Net Banking
ORD0005285,CUS000767,PROD0090,2,22711.21,45422.42,2025-10-12,Delivered,UPI
ORD0005286,CUS000538,PROD0096,5,19864.09,99320.45,2026-01-20,Returned,Debit Card
ORD0005287,CUS000578,PROD0085,4,8104.8,32419.2,2026-02-10,Pending,Debit Card
ORD0005288,CUS000427,PROD0006,4,6230.43,24921.72,2025-04-15,Returned,Credit Card
ORD0005289,CUS000598,PROD0233,5,25425.13,127125.65,2025-08-14,Returned,Debit Card
ORD0005290,CUS000387,PROD0097,3,4727.95,14183.85,2025-11-15,Pending,COD
ORD0005291,CUS000937,PROD0080,5,8257.43,41287.15,2024-12-21,Pending,COD
ORD0005292,CUS000329,PROD0127,2,3683.3,7366.6,2025-11-09,Pending,Net Banking
ORD0005293,CUS000528,PROD0205,5,19933.23,99666.15,2024-09-19,Returned,Net Banking
ORD0005294,CUS000192,PROD0231,5,18881.98,94409.9,2024-08-24,Cancelled,Net Banking
ORD0005295,CUS000125,PROD0007,3,3975.62,11926.86,2024-08-30,Shipped,UPI
ORD0005296,CUS000051,PROD0269,2,22743.86,45487.72,2025-05-24,Pending,UPI
ORD0005297,CUS000336,PROD0127,1,3683.3,3683.3,2024-08-18,Shipped,COD
ORD0005298,CUS001000,PROD0271,2,18225.62,36451.24,2024-07-25,Pending,Credit Card
ORD0005299,CUS000413,PROD0080,2,8257.43,16514.86,2025-05-22,Delivered,Credit Card
ORD0005300,CUS000297,PROD0003,1,23611.22,23611.22,2025-02-12,Cancelled,Credit Card
ORD0005301,CUS000151,PROD0239,4,11826.87,47307.48,2025-09-13,Pending,Credit Card
ORD0005302,CUS000874,PROD0157,2,19222.02,38444.04,2025-12-29,Delivered,UPI
ORD0005303,CUS000223,PROD0289,1,3732.69,3732.69,2026-03-27,Cancelled,Credit Card
ORD0005304,CUS000529,PROD0009,2,4590.72,9181.44,2025-07-09,Pending,Net Banking
ORD0005305,CUS000923,PROD0165,2,13221.55,26443.1,2025-10-17,Pending,Net Banking
ORD0005306,CUS000606,PROD0068,1,3786.23,3786.23,2025-02-11,Pending,COD
ORD0005307,CUS000853,PROD0223,3,10238.57,30715.71,2025-03-24,Returned,UPI
ORD0005308,CUS000304,PROD0082,2,21113.78,42227.56,2024-07-25,Delivered,UPI
ORD0005309,CUS000532,PROD0078,1,29776.45,29776.45,2024-12-07,Shipped,Debit Card
ORD0005310,CUS000032,PROD0173,2,20973.73,41947.46,2026-03-29,Pending,Net Banking
ORD0005311,CUS000624,PROD0219,4,17649.86,70599.44,2026-05-18,Delivered,COD
ORD0005312,CUS000928,PROD0134,5,7315.92,36579.6,2025-09-09,Pending,Net Banking
